Section_code,Division_code,Group_code,Class_code,Item_code,,,,,,Section_name,Division_name,Group_name,Class_name,Item_name
SECTION A,01,011,0111,01111,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Food Crops (Non-Hydroponics),Growing of leafy and fruit vegetables
SECTION A,01,011,0111,01112,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Food Crops (Non-Hydroponics),Growing of mushrooms
SECTION A,01,011,0111,01113,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Food Crops (Non-Hydroponics),Growing of root crops
SECTION A,01,011,0111,01119,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Food Crops (Non-Hydroponics),Growing of food crops (non-hydroponics) n.e.c.
SECTION A,01,011,0112,01120,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Food Crops (Hydroponics),Growing of leafy and fruit vegetables (hydroponics)
SECTION A,01,011,0113,01130,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Fruits,Growing of fruits
SECTION A,01,011,0114,01141,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Nursery Products,Growing of orchids
SECTION A,01,011,0114,01142,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Nursery Products,Growing of ornamental plants
SECTION A,01,011,0114,01149,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Nursery Products,Growing of nursery products n.e.c.
SECTION A,01,011,0119,01190,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,"GROWING OF CROPS, MARKET GARDENING AND HORTICULTURE",Growing of Other Crops,Growing of other crops
SECTION A,01,014,0141,01411,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Livestock Production (except Poultry and Animal Specialties),Pig farms
SECTION A,01,014,0141,01412,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Livestock Production (except Poultry and Animal Specialties),Cattle farms (including dairy cattle)
SECTION A,01,014,0141,01413,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Livestock Production (except Poultry and Animal Specialties),Goat farms (including goat's milk production)
SECTION A,01,014,0142,01421,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Poultry Farms and Hatcheries,Poultry breeding/hatcheries
SECTION A,01,014,0142,01422,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Poultry Farms and Hatcheries,Broiler farms (chickens reared for meat)
SECTION A,01,014,0142,01423,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Poultry Farms and Hatcheries,Layer farms (chickens reared for eggs)
SECTION A,01,014,0142,01424,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Poultry Farms and Hatcheries,Duck farms
SECTION A,01,014,0149,01491,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Other Animal Production,Dog breeding
SECTION A,01,014,0149,01492,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Other Animal Production,Bird breeding
SECTION A,01,014,0149,01493,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Other Animal Production,Crocodile farms
SECTION A,01,014,0149,01494,1,1,1,,,AGRICULTURE AND FISHING,AGRICULTURE AND RELATED SERVICE ACTIVITIES,ANIMAL PRODUCTION,Other Animal Production,Frog farms
